"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17","POST /departments/<id>/delete — удаляет и редиректит","tests","Sun Mar 01 06:04:31 UTC 2026","passed","Sun Mar 01 06:04:31 UTC 2026","","test_routes","",""
"","18","Фильтрация по отделу","tests","Sun Mar 01 06:04:27 UTC 2026","passed","Sun Mar 01 06:04:27 UTC 2026","","test_database","",""
"","16","GET /positions — страница открывается","tests","Sun Mar 01 06:04:30 UTC 2026","passed","Sun Mar 01 06:04:30 UTC 2026","","test_routes","",""
"","18","POST /positions/<id>/edit — обновляет и редиректит","tests","Sun Mar 01 06:04:30 UTC 2026","passed","Sun Mar 01 06:04:30 UTC 2026","","test_routes","",""
"","9","POST /positions/create — пустое имя → flash-ошибка","tests","Sun Mar 01 06:04:30 UTC 2026","passed","Sun Mar 01 06:04:30 UTC 2026","","test_routes","",""
"","18","Поиск по полю 'Иван'","tests","Sun Mar 01 06:04:26 UTC 2026","passed","Sun Mar 01 06:04:27 UTC 2026","","test_database","",""
"","19","GET /positions?edit=<id> — форма предзаполнена","tests","Sun Mar 01 06:04:30 UTC 2026","passed","Sun Mar 01 06:04:30 UTC 2026","","test_routes","",""
"","14","Удаление должности","tests","Sun Mar 01 06:04:27 UTC 2026","passed","Sun Mar 01 06:04:27 UTC 2026","","test_database","",""
"","12","POST /create — невалидные данные: почт","tests","Sun Mar 01 06:04:29 UTC 2026","passed","Sun Mar 01 06:04:29 UTC 2026","","test_routes","",""
"","44","Главная страница — пустой список","tests","Sun Mar 01 06:04:28 UTC 2026","passed","Sun Mar 01 06:04:28 UTC 2026","","test_routes","",""
"","7","GET /departments — страница открывается","tests","Sun Mar 01 06:04:30 UTC 2026","passed","Sun Mar 01 06:04:30 UTC 2026","","test_routes","",""
"","12","Невалидный sort — fallback на full_name","tests","Sun Mar 01 06:04:27 UTC 2026","passed","Sun Mar 01 06:04:27 UTC 2026","","test_database","",""
"","26","Фильтрация: /?dept=ИТ-отдел","tests","Sun Mar 01 06:04:28 UTC 2026","passed","Sun Mar 01 06:04:28 UTC 2026","","test_routes","",""
"","7","POST /delete/<id> — несуществующий ID → редирект без ошибки","tests","Sun Mar 01 06:04:30 UTC 2026","passed","Sun Mar 01 06:04:30 UTC 2026","","test_routes","",""
"","12","POST /create — невалидные данные: телефон","tests","Sun Mar 01 06:04:29 UTC 2026","passed","Sun Mar 01 06:04:29 UTC 2026","","test_routes","",""
"","14","Обновление должности на null","tests","Sun Mar 01 06:04:27 UTC 2026","passed","Sun Mar 01 06:04:27 UTC 2026","","test_database","",""
"","11","Создание должности и получение всех","tests","Sun Mar 01 06:04:27 UTC 2026","passed","Sun Mar 01 06:04:27 UTC 2026","","test_database","",""
"","8","GET /edit/<id> — несуществующий ID → редирект","tests","Sun Mar 01 06:04:29 UTC 2026","passed","Sun Mar 01 06:04:29 UTC 2026","","test_routes","",""
"","26","GET /edit предзаполняет select должности","tests","Sun Mar 01 06:04:31 UTC 2026","passed","Sun Mar 01 06:04:31 UTC 2026","","test_routes","",""
"","12","POST /departments/create — создаёт отдел и редиректит","tests","Sun Mar 01 06:04:30 UTC 2026","passed","Sun Mar 01 06:04:30 UTC 2026","","test_routes","",""
"","17","Миграция должностей из существующих сотрудников","tests","Sun Mar 01 06:04:28 UTC 2026","passed","Sun Mar 01 06:04:28 UTC 2026","","test_database","",""
"","24","POST /edit/<id> — невалидные данные: телефон","tests","Sun Mar 01 06:04:29 UTC 2026","passed","Sun Mar 01 06:04:30 UTC 2026","","test_routes","",""
"","21","POST /positions/create — дубликат → flash-ошибка","tests","Sun Mar 01 06:04:30 UTC 2026","passed","Sun Mar 01 06:04:30 UTC 2026","","test_routes","",""
"","19","Сортировка по full_name, порядок: asc","tests","Sun Mar 01 06:04:27 UTC 2026","passed","Sun Mar 01 06:04:27 UTC 2026","","test_database","",""
"","15","Удаление отдела","tests","Sun Mar 01 06:04:28 UTC 2026","passed","Sun Mar 01 06:04:28 UTC 2026","","test_database","",""
"","28","Фильтрация: /?q=Иван","tests","Sun Mar 01 06:04:28 UTC 2026","passed","Sun Mar 01 06:04:28 UTC 2026","","test_routes","",""
"","20","POST /create — валидные данные → редирект и запись в БД","tests","Sun Mar 01 06:04:29 UTC 2026","passed","Sun Mar 01 06:04:29 UTC 2026","","test_routes","",""
"","13","POST /create — невалидные данные: Обязательное","tests","Sun Mar 01 06:04:29 UTC 2026","passed","Sun Mar 01 06:04:29 UTC 2026","","test_routes","",""
"","20","POST /departments/create — дубликат → flash-ошибка","tests","Sun Mar 01 06:04:31 UTC 2026","passed","Sun Mar 01 06:04:31 UTC 2026","","test_routes","",""
"","14","get_departments читает из таблицы departments","tests","Sun Mar 01 06:04:28 UTC 2026","passed","Sun Mar 01 06:04:28 UTC 2026","","test_database","",""
"","16","Удаление записи","tests","Sun Mar 01 06:04:26 UTC 2026","passed","Sun Mar 01 06:04:26 UTC 2026","","test_database","",""
"","24","POST /edit/<id> — невалидные данные: Обязательное","tests","Sun Mar 01 06:04:29 UTC 2026","passed","Sun Mar 01 06:04:29 UTC 2026","","test_routes","",""
"","20","Главная страница — сотрудник отображается в таблице","tests","Sun Mar 01 06:04:28 UTC 2026","passed","Sun Mar 01 06:04:28 UTC 2026","","test_routes","",""
"","25","GET /edit/<id> — форма заполнена данными сотрудника","tests","Sun Mar 01 06:04:29 UTC 2026","passed","Sun Mar 01 06:04:29 UTC 2026","","test_routes","",""
"","19","Получение всех записей без фильтров","tests","Sun Mar 01 06:04:26 UTC 2026","passed","Sun Mar 01 06:04:26 UTC 2026","","test_database","",""
"","11","Получение уникальных отделов в алфавитном порядке","tests","Sun Mar 01 06:04:27 UTC 2026","passed","Sun Mar 01 06:04:27 UTC 2026","","test_database","",""
"","11","Создание отдела и получение всех","tests","Sun Mar 01 06:04:28 UTC 2026","passed","Sun Mar 01 06:04:28 UTC 2026","","test_database","",""
"","35","Повторное создание сотрудника с тем же email невозможно","tests","Sun Mar 01 06:04:31 UTC 2026","passed","Sun Mar 01 06:04:31 UTC 2026","","test_routes","",""
"","13","Создание записи и получение по ID","tests","Sun Mar 01 06:04:26 UTC 2026","passed","Sun Mar 01 06:04:26 UTC 2026","","test_database","",""
"","24","POST /edit/<id> — невалидные данные: почт","tests","Sun Mar 01 06:04:29 UTC 2026","passed","Sun Mar 01 06:04:29 UTC 2026","","test_routes","",""
"","15","GET /create содержит должности из справочника","tests","Sun Mar 01 06:04:31 UTC 2026","passed","Sun Mar 01 06:04:31 UTC 2026","","test_routes","",""
"","8","Дублирующее название отдела вызывает IntegrityError","tests","Sun Mar 01 06:04:28 UTC 2026","passed","Sun Mar 01 06:04:28 UTC 2026","","test_database","",""
"","18","POST /departments/<id>/edit — обновляет и редиректит","tests","Sun Mar 01 06:04:31 UTC 2026","passed","Sun Mar 01 06:04:31 UTC 2026","","test_routes","",""
"","20","Поиск по полю 'ИТ'","tests","Sun Mar 01 06:04:27 UTC 2026","passed","Sun Mar 01 06:04:27 UTC 2026","","test_database","",""
"","9","Дублирующее название должности вызывает IntegrityError","tests","Sun Mar 01 06:04:28 UTC 2026","passed","Sun Mar 01 06:04:28 UTC 2026","","test_database","",""
"","12","POST /positions/create — создаёт должность и редиректит","tests","Sun Mar 01 06:04:30 UTC 2026","passed","Sun Mar 01 06:04:30 UTC 2026","","test_routes","",""
"","12","Получение должности по ID","tests","Sun Mar 01 06:04:27 UTC 2026","passed","Sun Mar 01 06:04:27 UTC 2026","","test_database","",""
"","19","Сортировка по full_name, порядок: desc","tests","Sun Mar 01 06:04:27 UTC 2026","passed","Sun Mar 01 06:04:27 UTC 2026","","test_database","",""
"","19","Обновление записи","tests","Sun Mar 01 06:04:26 UTC 2026","passed","Sun Mar 01 06:04:26 UTC 2026","","test_database","",""
"","16","Обновление отдела","tests","Sun Mar 01 06:04:28 UTC 2026","passed","Sun Mar 01 06:04:28 UTC 2026","","test_database","",""
"","36","POST /edit/<id> — валидные данные → обновление и редирект","tests","Sun Mar 01 06:04:29 UTC 2026","passed","Sun Mar 01 06:04:29 UTC 2026","","test_routes","",""
"","22","POST /delete/<id> — существующий сотрудник удаляется","tests","Sun Mar 01 06:04:30 UTC 2026","passed","Sun Mar 01 06:04:30 UTC 2026","","test_routes","",""
"","19","Поиск по полю 'Разработчик'","tests","Sun Mar 01 06:04:27 UTC 2026","passed","Sun Mar 01 06:04:27 UTC 2026","","test_database","",""
"","29","GET /create — форма открывается","tests","Sun Mar 01 06:04:29 UTC 2026","passed","Sun Mar 01 06:04:29 UTC 2026","","test_routes","",""
"","18","POST /positions/<id>/delete — удаляет и редиректит","tests","Sun Mar 01 06:04:30 UTC 2026","passed","Sun Mar 01 06:04:30 UTC 2026","","test_routes","",""
