"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","REST API","2","0","Получение сотрудника","0"
"0","","0","REST API","6","0","Справочник должностей","0"
"4","","0","UI","0","0","Справочник должностей","0"
"0","","0","REST API","1","0","Интеграция","0"
"3","","0","UI","0","0","Создание сотрудника","0"
"0","","0","База данных","7","0","Справочник должностей","0"
"0","","0","База данных","5","0","Справочник отделов","0"
"0","","0","База данных","3","0","Сортировка","0"
"0","","0","REST API","2","0","История изменений","0"
"2","","0","UI","0","0","Справочник отделов","0"
"0","","0","REST API","5","0","Справочник отделов","0"
"0","","0","REST API","4","0","Создание сотрудника","0"
"0","","0","REST API","4","0","Список сотрудников","0"
"0","","0","REST API","4","0","Обновление сотрудника","0"
"0","","0","База данных","5","0","Поиск и фильтрация","0"
"0","","0","REST API","2","0","Удаление сотрудника","0"
"0","","2","UI","0","0","Главная страница","0"
"1","","0","UI","0","0","Удаление сотрудника","0"
"2","","0","UI","0","0","Поиск и фильтрация","0"
"0","","0","База данных","1","0","Справочники","0"
"0","","0","REST API","1","0","Идемпотентность","0"
"2","","0","UI","0","0","Редактирование сотрудника","0"
"3","","0","UI","0","0","История изменений","0"
"1","","0","UI","0","0","Навигация","0"
"0","","0","База данных","3","0","CRUD","0"
